_id,section,rules[0],rules[1],rules[2],rules[3],rules[4],rules[5],rules[6],rules[7],rules[8],rules[9],rules[10],rules[11],rules[12],rules[13],rules[14],rules[15],rules[16],rules[17],rules[18],rules[19],rules[20],rules[21],rules[22],rules[23],rules[24],rules[25],rules[26],rules[27],rules[28],rules[29],rules[30],rules[31],rules[32],rules[33],rules[34],rules[35],rules[36],rules[37],page_number,source
68dd20d6212869e0f7e30472,Germany,Road Traffic Regulations,"Ordinance of 06.03.2013 ( BGBl. I p. 367 ), entered into force on 01.04.2013,",last amended by law of 11.12.2024 ( BGBl. I p. 411 ) effective 01.01.2025,I.,General traffic rules ( 1 - 35 ),1 Basic rules,(1) Participation in road traffic requires constant caution and mutual consideration.,(2) Anyone taking part in traffic must behave in such a way that no other person is,"harmed, endangered or hindered or inconvenienced more than is unavoidable under",the circumstances.,2 Use of roads by vehicles,"(1) 1 Vehicles must use the carriageways, the right of two carriageways. 2 Hard",shoulders are not part of the carriageway.,"(2) Drive as far to the right as possible, not only when there is oncoming traffic, when","being overtaken, on crests, in bends or when visibility is unclear.","(3) Vehicles travelling in the longitudinal direction of a railway line must, as far as","possible, allow it to pass through.","(3a) 1 The driver of a motor vehicle may only drive on black ice, snow, slush, ice or frost","if all wheels are fitted with tyres which, without prejudice to the general tyre","requirements, meet the requirements of Section 36(4) of the Road Traffic Licensing",Regulations. 2 Sentence 1 shall not apply to,,,,,,,,,,,,,,,,,,1,road_traffic_rules.pdf
68dd20d6212869e0f7e30473,Forklift trucks within the meaning of Section 2 Number 18 of the Vehicle,"Licensing Ordinance,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,road_traffic_rules.pdf
68dd20d6212869e0f7e30474,4. motorized wheelchairs within the meaning of Section 2 No. 13 of the Vehicle,"Licensing Ordinance,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,road_traffic_rules.pdf
68dd20d6212869e0f7e30475,"Emergency vehicles of the organisations referred to in Section 35 Paragraph 1,","provided that, due to their design, no tyres are available for these vehicles",that meet the requirements of Section 36 Paragraph 4 of the Road Traffic,Licensing Regulations and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,road_traffic_rules.pdf
68dd20d6212869e0f7e30476,"Special vehicles for which tyres of categories C1, C2 or C3 are not available",due to their design.,"3 Motor vehicles of categories M2, M3, N2, N3 may also be driven in such weather",conditions if at least the wheels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,road_traffic_rules.pdf
68dd20d6212869e0f7e30477,the front steering axles,"are fitted with tyres which, without prejudice to the general tyre requirements, satisfy",the requirements of Section 36(4) of the Road Traffic Licensing Regulations. 4 If a motor,vehicle may be driven during one of the weather conditions referred to in sentence 1,without tyres which satisfy the requirements of Section 36(4) of the Road Traffic,"Licensing Regulations, the driver of the motor vehicle shall, in addition to his general","obligations,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,road_traffic_rules.pdf
68dd20d6212869e0f7e30478,to check before starting each journey whether it is necessary to make the,journey because the destination cannot be reached by other means of,"transport,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,road_traffic_rules.pdf
68dd20d6212869e0f7e30479,while driving,a) maintain a distance in metres from a vehicle in front of at least half the,"speed shown on the speedometer in km/h,",b) not to drive faster than 50 km/h unless a lower speed is required.,"5 Anyone driving a vehicle carrying dangerous goods that is subject to marking must, if","visibility is less than 50 metres or if the road is covered with snow or ice, ensure that","they do not endanger others and, if necessary, seek the nearest suitable place to park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,road_traffic_rules.pdf
68dd20d6212869e0f7e3047a,(4) 1Bicycles may be ridden side by side as long as this does not obstruct,"traffic; otherwise, cyclists must ride one behind the other. 2 There is an obligation to use",cycle paths in the respective direction of travel only if indicated by,"signs 237 , 240 or 241. 3 Right-hand cycle paths without signs 237 , 240 or 241 may be","used. 4 Left-hand cycle paths without signs 237 , 240 or 241 may only be used if","indicated by the stand-alone additional sign ""Cycle traffic permitted"". 5 Cyclists may",also use the right-hand verge if there are no cycle paths and pedestrians are not,"obstructed. 6 Outside built-up areas, mopeds and e-bikes may use cycle paths.","(5) 1 Children up to the age of eight must, and children up to the age of ten may, use","sidewalks with bicycles. 2 If a cycle path is structurally separated from the roadway,","children up to the age of eight may also use this cycle path, notwithstanding sentence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,road_traffic_rules.pdf
68dd20d6212869e0f7e3047b,"3 If a child up to the age of eight is accompanied by a suitable supervisor, this",supervisor may also use the sidewalk by bicycle for the duration of the,accompaniment; A supervisor is particularly suitable if they are at least 16 years,old. 4 Pedestrians must be given special consideration. 5 Pedestrian traffic must not be,"endangered or obstructed. 6 Where necessary, the speed must be adjusted to suit","pedestrian traffic. 7 If a sidewalk is used before crossing a roadway, the children and the",accompanying supervisor must dismount.,3 Speed,Driving a vehicle may only drive at a speed that allows them to be controlled at all,"times. 2 The speed must be adapted in particular to the road, traffic, visibility and","weather conditions, as well as to personal abilities and the characteristics of the","vehicle and load. 3 If visibility is less than 50 m due to fog, snowfall or rain, the speed",must not exceed 50 km/h unless a lower speed is necessary. 4 The speed may only be,"driven at a speed that allows them to stop within the visible distance. 5 However,","on carriageways that are so narrow that they could endanger oncoming vehicles, the",speed must be slow enough to allow them to stop within at least half the visible,distance.,"(2) Without good reason, motor vehicles shall not drive so slowly as to obstruct the flow",of traffic.,"(2a) Anyone driving a vehicle must behave towards children, people in need of",assistance and elderly people in such a way as to exclude any danger to these road,"users, in particular by reducing speed and being prepared to brake.","(3) The maximum permissible speed, even under the most favourable conditions, is",,,,,,,,,,,,,,,,,3,road_traffic_rules.pdf
